Id,Tz,FirstName,LastName,PhoneNumber,Address,Email,Status,AccountId,JoiningDate
1,301711131,First1,Last1,+12906509653,"952 Main St, City1",customer1@example.com,Inactive,45,2023-09-17
2,583003613,First2,Last2,+16483297234,"150 Main St, City2",customer2@example.com,Banned,63,2023-02-15
3,428752831,First3,Last3,+13331683502,"333 Main St, City3",customer3@example.com,Inactive,24,2016-11-05
4,726070048,First4,Last4,+12573595982,"851 Main St, City4",customer4@example.com,Inactive,61,2023-08-13
5,685161554,First5,Last5,+14384563941,"919 Main St, City5",customer5@example.com,Banned,23,2020-12-24
6,956692509,First6,Last6,+19495540997,"734 Main St, City6",customer6@example.com,Banned,49,2014-12-31
7,470515760,First7,Last7,+18909817459,"934 Main St, City7",customer7@example.com,Active,78,2016-11-11
8,942035292,First8,Last8,+18307584180,"512 Main St, City8",customer8@example.com,Banned,77,2016-06-18
9,735702309,First9,Last9,+17763636771,"224 Main St, City9",customer9@example.com,Active,34,2020-10-28
10,124774124,First10,Last10,+15065938347,"693 Main St, City10",customer10@example.com,Active,95,2019-06-08
11,256309980,First11,Last11,+12302114971,"638 Main St, City11",customer11@example.com,Banned,23,2024-03-10
12,428396944,First12,Last12,+12203152803,"308 Main St, City12",customer12@example.com,Banned,100,2021-08-21
13,466227621,First13,Last13,+14686427883,"439 Main St, City13",customer13@example.com,Banned,79,2020-12-13
14,524298496,First14,Last14,+14334139336,"110 Main St, City14",customer14@example.com,Banned,76,2016-08-28
15,219612437,First15,Last15,+13227571466,"438 Main St, City15",customer15@example.com,Inactive,70,2018-06-18
16,533040139,First16,Last16,+17805355798,"527 Main St, City16",customer16@example.com,Active,82,2016-06-25
17,107290858,First17,Last17,+15652553675,"826 Main St, City17",customer17@example.com,Banned,77,2019-12-14
18,624971044,First18,Last18,+14631699512,"754 Main St, City18",customer18@example.com,Inactive,49,2017-01-02
19,677998473,First19,Last19,+19840463745,"319 Main St, City19",customer19@example.com,Active,29,2019-06-21
20,148654295,First20,Last20,+14401589647,"149 Main St, City20",customer20@example.com,Active,54,2022-11-09
21,770182094,First21,Last21,+15959273531,"129 Main St, City21",customer21@example.com,Banned,51,2016-03-25
22,998482519,First22,Last22,+12435725980,"682 Main St, City22",customer22@example.com,Inactive,32,2023-06-13
23,575979031,First23,Last23,+13296675048,"256 Main St, City23",customer23@example.com,Active,48,2020-10-27
24,663131153,First24,Last24,+15955471164,"347 Main St, City24",customer24@example.com,Inactive,93,2019-02-27
25,693395567,First25,Last25,+18144836668,"709 Main St, City25",customer25@example.com,Inactive,74,2017-05-02
26,879635822,First26,Last26,+18787707666,"481 Main St, City26",customer26@example.com,Inactive,36,2016-11-03
27,208954527,First27,Last27,+17313996135,"724 Main St, City27",customer27@example.com,Banned,65,2024-07-15
28,261948261,First28,Last28,+19945192431,"568 Main St, City28",customer28@example.com,Active,3,2017-12-19
29,116743283,First29,Last29,+13020569482,"625 Main St, City29",customer29@example.com,Inactive,84,2019-06-10
30,337672883,First30,Last30,+12708776912,"885 Main St, City30",customer30@example.com,Banned,23,2022-11-03
31,166297744,First31,Last31,+14208067312,"998 Main St, City31",customer31@example.com,Banned,45,2017-04-18
32,949959053,First32,Last32,+14598366974,"904 Main St, City32",customer32@example.com,Active,83,2016-08-12
33,717857166,First33,Last33,+15207195453,"558 Main St, City33",customer33@example.com,Banned,35,2023-04-10
34,823987145,First34,Last34,+14181371125,"364 Main St, City34",customer34@example.com,Inactive,19,2022-06-23
35,794988631,First35,Last35,+18442644849,"592 Main St, City35",customer35@example.com,Active,49,2022-08-14
36,696612296,First36,Last36,+19926321798,"982 Main St, City36",customer36@example.com,Banned,60,2022-10-19
37,588497763,First37,Last37,+16163641758,"781 Main St, City37",customer37@example.com,Active,99,2016-09-11
38,240723040,First38,Last38,+19620329690,"271 Main St, City38",customer38@example.com,Active,86,2015-09-09
39,846866812,First39,Last39,+19417957039,"894 Main St, City39",customer39@example.com,Inactive,73,2021-10-29
40,579088994,First40,Last40,+19506492242,"946 Main St, City40",customer40@example.com,Inactive,16,2018-10-14
41,892667691,First41,Last41,+15938519275,"222 Main St, City41",customer41@example.com,Banned,47,2014-12-14
42,571352389,First42,Last42,+13662495939,"486 Main St, City42",customer42@example.com,Active,24,2016-02-22
43,112034712,First43,Last43,+13073172326,"495 Main St, City43",customer43@example.com,Banned,66,2019-09-20
44,420796930,First44,Last44,+18907750916,"547 Main St, City44",customer44@example.com,Banned,67,2017-07-26
45,442211512,First45,Last45,+17254947117,"191 Main St, City45",customer45@example.com,Active,43,2024-04-20
46,101055461,First46,Last46,+12177338462,"587 Main St, City46",customer46@example.com,Banned,68,2023-01-12
47,453105986,First47,Last47,+18549434657,"837 Main St, City47",customer47@example.com,Active,41,2018-02-12
48,538418605,First48,Last48,+12977012846,"128 Main St, City48",customer48@example.com,Banned,43,2015-03-06
49,228764608,First49,Last49,+17919280749,"608 Main St, City49",customer49@example.com,Active,72,2024-03-16
50,946635081,First50,Last50,+13843399688,"693 Main St, City50",customer50@example.com,Inactive,83,2023-01-16
51,580482179,First51,Last51,+14820299964,"401 Main St, City51",customer51@example.com,Active,35,2018-09-15
52,339115992,First52,Last52,+12913878301,"969 Main St, City52",customer52@example.com,Active,75,2017-07-10
53,974506744,First53,Last53,+15036762054,"759 Main St, City53",customer53@example.com,Banned,80,2019-07-01
54,201351186,First54,Last54,+14614400670,"215 Main St, City54",customer54@example.com,Active,21,2017-03-11
55,205932199,First55,Last55,+16104811338,"445 Main St, City55",customer55@example.com,Active,40,2017-10-11
56,765041771,First56,Last56,+12975129273,"214 Main St, City56",customer56@example.com,Banned,45,2020-03-29
57,658257318,First57,Last57,+14198092448,"447 Main St, City57",customer57@example.com,Active,46,2017-02-16
58,704138709,First58,Last58,+17818670819,"580 Main St, City58",customer58@example.com,Banned,28,2022-05-19
59,576144175,First59,Last59,+14572048127,"734 Main St, City59",customer59@example.com,Inactive,2,2017-11-07
60,887295333,First60,Last60,+19991367840,"943 Main St, City60",customer60@example.com,Inactive,46,2016-11-30
61,762299990,First61,Last61,+19755350750,"469 Main St, City61",customer61@example.com,Active,75,2019-10-25
